subject,catalog_nbr,units_maximum,course_title_long,prereq,hub
CASEE,598,2.0,Key Debates and Emerging Research in Land Change Science,junior standing or consent of instructor - Topics change each semester,
CASEE,599,4.0,"Science, Politics, and Climate Change",,"Social Inquiry II, Critical Thinking"
CASEE,600,4.0,Environment and Development: A Political Ecology Approach,,
CASEE,620,4.0,Methods of Environmental Policy Analysis,"EC 101, MA 121 - Analysis of environmental policy, the implications of environmental problems for public decision-making, the tools available to decision-makers, and their effectiveness, advantages, and disadvantages",
CASEE,622,4.0,Aquatic Optics and Remote Sensing,,"Oral and/or Signed Communication, Quantitative Reasoning II, Research and Information Literacy"
CASEE,623,4.0,Marine Biogeochemistry,"CH 101 and 102, admission to BUMP or EE 144, or consent of instructor - Nutrient and biogeochemical cycles in terrestrial, freshwater, and marine ecosystems; global biogeochemistry",
CASEE,643,4.0,Terrestrial Biogeochemistry,"BI 107 or ES/EE 105 or ES/EE 107, and CH 101/102; or consent of instru ctor - The patterns and processes controlling carbon and nutrient cycling in terrestrial ecosystems",
CASEE,644,4.0,Digital Image Processing - Remote Sensing,CASEE 302 or equivalent,
CASEE,645,4.0,Physical Models in Remote Sensing,EE 302 or equivalent - Devoted to understanding the physical processes involved in remote sensing,
CASEE,646,4.0,Remote Sensing of the Lower Atmosphere,EE 302 and EE 310 or consent of instructor - Remote sensing has transformed the study of Earth's atmosphere,
CASEE,647,4.0,Marine Geology,,
CASEE,648,4.0,Remote Sensing of Vegetation,,
CASEE,656,4.0,Terrestrial Ecosystems and the Carbon Cycle,"EE 100 or 101, college level statistics (MA 113, MA 115, MA 213, or equivalent), and one of the following: BI 306, BI 443, or EE 530; or consent of instructor - Explores the past, present, and possible future dynamics of the terrestrial carbon cycle",
CASEE,660,4.0,Resource Economics and Policy,"MA 121 or MA 123 or MA 124, or equivalent; EC 101 or equivalent; or consent of instructor *Economic and policy analysis of food, energy, and water, and the management of food, energy, water and land resources",
CASEE,671,4.0,Geochemistry,"any 100-level ES/EE course and CH 101 or equivalent, or consent of ins tructor - Chemical features of Earth and the solar system; geochemical cycles, reactions among solids, liquids, and gases; radioactivity and isotope fractionation; water chemistry; origins of ore deposits; applications of geochemistry to regional and global problems","Scientific Inquiry I, Oral and/or Signed Communication, Research and Information Literacy"
CASEE,675,4.0,Urban Ecology,"CAS EE 100 or EE 101; and one of the following: BI 306, BI 443 or BI 6 43, EE 456 or EE 656, or BI 530 or EE 530; or consent of instructor",
CASEE,683,4.0,Environmental and Geophysical Fluid Dynamics,"MA 123 or 127 or 129 and PY 211; or consent of instructor - Large- and small-scale phenomena in oceanic, atmospheric, and land-surface fluids",
CASEE,699,2.0,Teaching College Earth & Environment,,
CASEE,700,4.0,Research Methods in Human-Environment Interactions,,
CASEE,701,4.0,Quant Methods for Earth Sci 1: Mechanics of Earth Materials,,
CASEE,702,4.0,Quant Meth Earth Sci 2: Analy and Mdlng of Geologic Pro,,
CASEE,710,4.0,Scientific Assessments of Environmental Issues: Process and Evaluation,,
CASEE,712,4.0,Regional Energy Modeling,,
CASEE,715,2.0,Global Change Initiative: Education and Research,"GLACIER Fellow or consent of instructor - Interdisciplinary perspectives on global change issues, combined with focus on how to develop effective classroom lessons to address these issues",
CASEE,719,2.0,Colloquium in Biogeoscience,,
CASEE,720,2.0,Practicum in Biogeoscience,,
CASEE,764,2.0,Urban Biogeoscience and Environmental Health Colloquium,priority is given to students enrolled in the BU Graduate Program in U rban Biogeoscience and Environmental Health,
CASEE,765,2.0,Applied Research Methods Urban Biogeoscience and Environmental Health,Priority is given to students enrolled in the BU Graduate Program in U rban Biogeoscience and Environmental Health,
CASEE,795,4.0,Urban Biogeoscience and Environmental Health: From Research to Policy,Priority is given to students enrolled in the BU Graduate Program in Urban Biogeoscience and Environmental Health,
CASEE,798,4.0,Global Development Capstone,at least 12 credits toward the MA in Global Development Policy or the MA in Global Development Economics - Capstone course for MA students in Global Development Policy and Global Development Economics,
CASEE,805,4.0,Spatial Analysis Using Geographic Information Systems (GIS),,
CASEE,840,4.0,Topics in Remote Sensing,,
CASEE,845,4.0,Advanced Topics in Geographic Information Systems (GIS),,
CASEE,902,1.0,Graduate Student Internship,consent of instructor,
CASEE,910,6.0,Topics in Regional Geography,,
CASEE,911,6.0,Geomorphology and Hydrogeology,,
CASEE,912,6.0,Geomorphology and Hydrogeology,,
CASEE,913,6.0,Environmental and Urban Geology,,
CASEE,914,6.0,Environmental and Urban Geology,,
CASEE,921,6.0,Crystallography and Mineralogy,,
CASEE,922,6.0,Crystallography and Mineralogy,,
CASEE,923,6.0,Problems in Atmospheric Chemistry,,
CASEE,925,6.0,Igneous and Metamorphic Petrology,,
CASEE,926,6.0,Igneous and Metamorphic Petrology,,
CASEE,927,6.0,Structural Geology and Tectonics,,
CASEE,928,6.0,Structural Geology and Tectonics,,
CASEE,929,6.0,Problems in Climatology,,
CASEE,930,6.0,Problems in Climatology,,
CASEE,931,6.0,Sedimentation and Stratigraphy,,
CASEE,932,6.0,Sedimentation and Stratigraphy,,
CASEE,933,6.0,Problems in GIS,,
CASEE,934,6.0,Problems in GIS,,
CASEE,937,6.0,Problems in Remote Sensing,,
CASEE,938,6.0,Problems in Remote Sensing,,
CASEE,941,6.0,Coastal and Marine Geology,,
CASEE,942,4.0,DS Coastal and Marine Geology,,
CASEE,943,6.0,Problems in Pol Geology,,
CASEE,944,6.0,Problems in Pol Geology,,
CASEE,947,6.0,Problems in Energy,,
CASEE,948,6.0,Problems in Energy,,
CASEE,951,6.0,Paleontology,,
CASEE,952,6.0,Paleontology,,
CASEE,953,6.0,Problems in Cultural Geography,,
CASEE,954,6.0,Problems in Cultural Geography,,
CASEE,955,6.0,Problems in Historical Geography,,
CASEE,956,6.0,Problems in Historical Geography,,
CASEE,957,6.0,Problems in Economical Geography,,
CASEE,958,6.0,Problems in Economical Geography,,
CASEE,961,6.0,Geophysics,,
CASEE,962,6.0,Geophysics,,
CASEE,963,6.0,Seismology,,
CASEE,964,6.0,Seismology,,
CASEE,966,4.0,Problems in Urban Geology,,
CASEE,971,6.0,DS Geochemistry,,
CASEE,972,6.0,DS Geochemistry,,
CASEE,981,0.0,Certified Continuing Full Time Study,,
CASEE,982,0.0,Certified Continuing Full Time Study,,
CASEE,983,0.0,Continuing Study Part-Time,,
CASEE,984,0.0,Continuing Study Part-Time,,
CASEE,985,0.0,Continuing Study Certified Full-time,,
CASEE,986,0.0,Continuing Study Certified Full-time,,
CASEE,991,6.0,Problems in Physical Geography,,
CASEE,992,6.0,Problems in Physical Geography,,
CASEE,995,6.0,Problems in Environment,,
CASEE,996,6.0,Problems in Environment,,
CASEI,305,4.0,Manuscripts at Mugar,,
CASEI,491,4.0,DIRECTED STUDY,,
CASEI,492,4.0,DIRECTED STUDY,,
CASEI,501,4.0,The Theory and Practice of Literary Editing,junior standing or consent of instructor,
CASEI,502,4.0,LIT EDITING II,,
CASEI,503,4.0,Textual Scholarship,junior standing or consent of instructor,
CASEI,504,4.0,Textual Scholarship and Philosophy,,
CASEI,505,4.0,Manuscripts at Mugar,,
CASEI,506,4.0,Topics in Textual Scholarship and the History of Western Society,junior standing or consent of instructor,
CASEI,507,4.0,Publishing Procedures,(CASEI509) - A graduate-level course,
CASEI,508,4.0,Editing Across the Disciplines,junior standing and consent of instructor,
CASEI,509,4.0,History of the Book,,
CASEI,699,2.0,Teaching College Editorial Studies,,
CASEI,701,4.0,The Theory and Practice of Literary Editing,,
CASEI,703,4.0,Annotation,"(CASEI503) - Studies in allusions, sources, dating, topical contexts, annotation as a part of the work itself, and marginal glosses, among other topics",
CASEI,704,4.0,Editions,(CASEI503) - A consideration of the major editions of an author or authors,
CASEI,802,4.0,Advanced Topics in Editing: Word and Image,junior standing - An historical and critical description of the relation between printed text and forms of illustration in selected works dating from 1500 to the present day,
CASEI,901,4.0,Directed Study,,
CASEI,902,4.0,Directed Study,,
CASEI,981,0.0,Certified Full-Time Study,,
CASEI,982,0.0,Certified Full-Time Study,,
CASEI,983,0.0,Continuing Study Part-Time,,
CASEI,984,0.0,Continuing Study Part-Time,,
CASEI,985,0.0,Continuing Study Full-Time,,
CASEI,986,0.0,Continuing Study Full-Time,,
CASEN,1,0.0,GEN CRSE COMMNT,,
CASEN,100,4.0,Advanced Standing in English Literature and Composition,,
CASEN,101,4.0,Encounters: Reading across Time and Space,,"Aesthetic Exploration, Creativity/Innovation, Teamwork/Collaboration"
CASEN,102,4.0,Expository Composition for International Students 2,,
CASEN,103,4.0,Expository Composition 1,,
CASEN,104,4.0,Expository Composition 2,,
CASEN,105,4.0,THMS IN WRIT I,,
CASEN,106,4.0,THMS IN WRIT II,,
CASEN,107,4.0,The Voice of Poetry,CASWR 120 or CASEN 120,
CASEN,111,4.0,NATURE OF LANG,,
CASEN,120,4.0,Freshman Seminar,,
CASEN,121,4.0,Reading World Literature,,"Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Research and Information Literacy"
CASEN,122,4.0,Medieval Worlds,,"Aesthetic Exploration, Historical Consciousness, Teamwork/Collaboration"
CASEN,123,4.0,EN&AM MASTPCS I,,
CASEN,124,4.0,EN&AM MASTPC II,,
CASEN,125,4.0,Reading Modern Literature,,"Ethical Reasoning, Aesthetic Exploration"
CASEN,126,4.0,Jewish Literature,"First Year Writing Seminar (e.g., WR 100 or WR 120) - How do changing notions of ethnicity and race, religion, and gender, as well as geographical place define Jewish family and community' Topics include immigration, diaspora, and national culture; patriotism, antisemitism, and multiculturalism; Jewish identities and gender; conversion, assimilation, and acculturation","Aesthetic Exploration, Global Citizenship and Intercultural Literacy"
CASEN,127,4.0,Reading American Literature,"First Year Writing Seminar (e.g., WR 100 or WR 120) - Readings may include works of fiction, poetry, or drama composed in America from the colonial period to the present","Aesthetic Exploration, The Individual in Community"
CASEN,128,4.0,Representing Boston,,"Historical Consciousness, The Individual in Community, Teamwork/Collaboration"
CASEN,129,4.0,Introduction to African American Literature,"First-Year Writing Seminar (WR 120 or equivalent) - What is the African American literary tradition? In this course, we will read poetry, slave narratives, essays, speeches, tales, short stories, and novels and consider how culture, politics, and history shape African American literature","Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASEN,130,4.0,Science/Fiction,"None - Through readings in British and/or American literature, an exploration of some of the following topics: science and technology as literary themes; historical construction of science and art; similarities and differences between literary and scientific methods; the development of science fiction","Aesthetic Exploration, Ethical Reasoning"
CASEN,132,4.0,Write Back Soon: Blackness and the Prison,,"The Individual in Community, Aesthetic Exploration, Critical Thinking"
CASEN,141,4.0,Introduction to Fiction,,"Aesthetic Exploration, Ethical Reasoning"
CASEN,142,4.0,Introduction to Poetry,,"Aesthetic Exploration, Oral and/or Signed Communication"
CASEN,143,4.0,Introduction to Drama,,
CASEN,144,4.0,Theater in Boston,,
CASEN,145,4.0,Introduction to Performance,,
CASEN,150,4.0,"Children's Literature: Fairy Tales, Fantasy, and Imaginary Spaces",,"Aesthetic Exploration, Creativity/Innovation"
CASEN,155,4.0,"The Myth of the Family in Classical American Literature, Film, and Television",,"Aesthetic Exploration, Social Inquiry I"
CASEN,160,4.0,"Big Novels, Big Ideas",,"Philosophical Inquiry and Life's Meanings, Aesthetic Exploration, Critical Thinking"
CASEN,162,4.0,The Ethics of Art,,"Philosophical Inquiry and Life's Meanings, Ethical Reasoning"
CASEN,163,4.0,Reading Shakespeare,,"Aesthetic Exploration, Historical Consciousness, Critical Thinking"
CASEN,164,4.0,Reading Shakespeare,for EN 164,
CASEN,170,4.0,The Graphic Novel,,"Aesthetic Exploration, Digital/Multimedia Expression, Creativity/Innovation"
CASEN,171,4.0,RD AFRO-AM LIT,,
CASEN,173,4.0,DETECTIVE FICT,,
CASEN,175,4.0,Literature and the Art of Film,,"Aesthetic Exploration, Digital/Multimedia Expression"
CASEN,176,4.0,Introduction to Film & Media Aesthetics,,"Digital/Multimedia Expression, Aesthetic Exploration, Critical Thinking"
CASEN,177,4.0,Introduction to Asian-American Literature,None - Explores Asian American literature from the early twentieth century until today,"Aesthetic Exploration, The Individual in Community, Teamwork/Collaboration"
CASEN,178,4.0,Introduction to Latinx Literature,,"Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Teamwork/Collaboration"
CASEN,179,4.0,Introduction to Trans Literature,,"Aesthetic Exploration, Historical Consciousness, Teamwork/Collaboration"
CASEN,180,4.0,Post-Apocalyptic Narratives,,"Aesthetic Exploration, Ethical Reasoning"
CASEN,181,4.0,PROB IN NOVEL,,
CASEN,182,4.0,RACE & IDENTITY,,
CASEN,183,4.0,AMERICNS ABROAD,,
CASEN,184,4.0,LIT & MONEY,,
CASEN,185,4.0,ANTI-HERO,,
CASEN,186,4.0,FABLES & TALES,,
CASEN,187,4.0,ROMANTIC SELF,,
CASEN,188,4.0,AUTOBIOGRAPHY,,
CASEN,189,4.0,SEARCH FOR SELF,,
CASEN,190,4.0,DETECTIVE NOVEL,,
CASEN,191,4.0,MONSTERS&MAKERS,,
CASEN,192,4.0,LIT OF THE 30'S,,
CASEN,193,4.0,HEROINE/ENG NOV,,
CASEN,194,4.0,HOMOSEXUAL LIT,,
CASEN,195,4.0,Literature and Ideas,,"Aesthetic Exploration, Philosophical Inquiry and Life's Meanings, Critical Thinking"
CASEN,196,4.0,PATTRNS AM SUCC,,
CASEN,198,4.0,AMERICANS ABROAD,,
CASEN,201,4.0,Introduction to Literary Studies,"(CASEN 120) or another First Year Writing Seminar (e.g., CASWR 100 or CASWR 120)","Aesthetic Exploration, Writing-Intensive Course"
CASEN,202,4.0,Introduction to Creative Writing,,
CASEN,203,4.0,Advanced Composition,,
CASEN,213,4.0,"The ""Odyssey"" and ""Ulysses""","First Year Writing Seminar (e.g., WR 100 or WR 120) - This course consists of a close reading of James Joyce's Ulysses with particular attention to his use of the Odyssey",
CASEN,215,4.0,Global Modernist Fiction,,"The Individual in Community, Philosophical Inquiry and Life's Meanings, Critical Thinking"
CASEN,220,4.0,Seminar in Literature,"First Year Writing Seminar (e.g., EN 120 or WR 100 or WR 120)","Writing: Research & Inquiry, Oral and/or Signed Communication, Research and Information Literacy"
CASEN,221,4.0,Major Authors,"First Year Writing Seminar (e.g., CASEN 120 or CASWR 100 or WR 120)","Aesthetic Exploration, Writing-Intensive Course"
CASEN,222,4.0,Survey of British Literature 1,"First Year Writing Seminar (e.g., CASEN 120 or CASWR 100 or WR 120), - Beginnings of English literature from Anglo-Saxon period to end of the seventeenth century","Aesthetic Exploration, Historical Consciousness"
CASEN,223,4.0,Survey of British Literature II,(CASEN222) - Literature from the Restoration to the end of the nineteenth century,
CASEN,230,4.0,Environmental Humanities and Society,"First Year Writing Seminar (e.g., WR 100 or WR 120) - Introduces students to Environmental Humanities as an interdisciplinary field exploring our understandings of diverse social, cultural, and aesthetic relationships to lived environments, environmental change, and environmental justice",
CASEN,240,4.0,Great Jewish Writers,First-Year Writing Seminar (CASWR 100 or 120),
CASEN,241,4.0,Jewish Humor and Satire: Stand-Up Comedy,First-Year Writing Seminar (CASWR 100 or 120),
CASEN,300,2.0,CONT AM PBLSHNG,,
CASEN,304,4.0,Writing of Poetry,"consent of instructor, to whom five to ten poems must be submitted dur ing the period just before classes begin",
CASEN,305,4.0,Writing of Fiction,"consent of instructor, to whom two or three short stories must be submitted during the period just before classes begin",
CASEN,306,4.0,Introduction to Playwriting,"First Year Writing Seminar (e.g., WR 100 or WR 120) - This course teaches playwriting craft through lectures, readings, discussion of dramatic writing, writing workshops, attending theatrical events, individual conferences, and the writing of short plays culminating in a one-act","Aesthetic Exploration, Writing-Intensive Course, Creativity/Innovation"
CASEN,313,4.0,Variation in Dialects of English,(CASLX250) or consent of instructor,
CASEN,322,4.0,British Literature I,"First Year Writing Seminar (e.g., CAS EN 120 or WR 100 or WR 120), EN 220, and EN 221","Aesthetic Exploration, Historical Consciousness"
CASEN,323,4.0,British Literature 2,"First Year Writing Seminar (e.g., CASEN 120 or CASWR 100 or WR 120) and CASEN 322","Aesthetic Exploration, Historical Consciousness"
CASEN,324,4.0,Topics in Medieval Literature,"one previous literature course, or junior or senior standing",
CASEN,325,4.0,Topics in Early Modern British Literature,"one previous literature course, or junior or senior standing",
CASEN,326,4.0,Arts of Gender,one previous literature course or junior or senior standing,"Aesthetic Exploration, The Individual in Community"
CASEN,327,4.0,Topics in American Literature,one previous literature course or junior or senior standing,
CASEN,328,4.0,Women's Literary Cultures,one previous literature course or junior or senior standing,"The Individual in Community, Aesthetic Exploration"
CASEN,329,4.0,Film Genres & Movements,,"Digital/Multimedia Expression, Aesthetic Exploration, Creativity/Innovation"
CASEN,330,4.0,Special Topics in Cinema and Media Studies,,
CASEN,331,4.0,Topics in Nineteenth-Century British Literature,"one previous literature course, or junior or senior standing",
CASEN,333,4.0,American Literature: Beginnings to Civil War,"one previous literature course, or junior or senior standing","Aesthetic Exploration, Historical Consciousness"
CASEN,334,4.0,American Literature: Civil War to World War I,one previous literature course or junior or senior standing,"Aesthetic Exploration, Historical Consciousness"
CASEN,335,4.0,British & Irish Poets: 1890 to 21st Century,,
CASEN,341,4.0,History of the Novel in English,one previous literature course or junior or senior standing,"Aesthetic Exploration, Historical Consciousness, Critical Thinking"
CASEN,343,4.0,Modern Irish Writers,,
CASEN,344,4.0,Modern British Fiction,"one previous literature course, or junior or senior standing",
CASEN,345,4.0,Nineteenth-Century American Fiction,one previous literature course or junior or senior standing,"Aesthetic Exploration, Historical Consciousness"
CASEN,346,4.0,Modern American Fiction,"one previous literature course, or junior or senior standing",
CASEN,347,4.0,Topics in Contemporary Global Fiction,one previous literature course or junior or senior standing,"Aesthetic Exploration, Global Citizenship and Intercultural Literacy"
CASEN,348,4.0,Topics in Modern Literature,one previous literature course or junior/senior status,
CASEN,349,4.0,Contemporary American Fiction,one previous literature course or junior or senior standing,"Aesthetic Exploration, The Individual in Community"
CASEN,350,4.0,Modern Literature and Feeling,two courses in literature,
CASEN,351,4.0,Global Asian Literature,"CASWR 120, First-Year Writing Seminar",
CASEN,354,4.0,The Poetry of War,"First Year Writing Seminar (e.g., CAS WR 100 or WR 120)",
CASEN,355,4.0,"Drama and Performance, 1840 - 1945",,
CASEN,356,4.0,"Drama and Performance, 1945 - Present",one previous literature course or junior or senior standing,"Aesthetic Exploration, The Individual in Community, Creativity/Innovation"
CASEN,357,4.0,Modern British Drama: A Critic's Perspective,,"Ethical Reasoning, Aesthetic Exploration, Critical Thinking"
CASEN,360,4.0,Toni Morrison's American Times,,"Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASEN,361,4.0,Auteurs at Work,,"Creativity/Innovation, Teamwork/Collaboration"
CASEN,363,4.0,Shakespeare I,one previous literature course or junior or senior standing,"Aesthetic Exploration, Historical Consciousness"
CASEN,364,4.0,Shakespeare 2,one previous literature course or junior or senior standing,
CASEN,365,4.0,Studies in Non-Cinematic Media,one previous literature course or junior or senior standing,
CASEN,366,4.0,SHAKESPER-PER,,
CASEN,369,4.0,Haruki Murakami and His Sources,one previous literature course or junior or senior standing,
CASEN,370,4.0,Introduction to African American Women Writers,"one previous literature course, or junior or senior standing","Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASEN,371,4.0,African American and Asian American Women Writers: Cross-Cultural Perspective,one previous literature course or junior or senior standing,"Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASEN,372,4.0,"Politics and Culture in Britain, 1660-1759",,
CASEN,373,4.0,Detective Fiction,one previous literature course or junior or senior standing,"Aesthetic Exploration, Historical Consciousness, Critical Thinking"
CASEN,374,4.0,BLAKE,,
CASEN,375,4.0,Special Topics in Cinema and Media Studies,,
CASEN,376,4.0,JONSON,,
CASEN,377,4.0,Literature of the Harlem Renaissance,one previous literature course or junior or senior standing,"Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASEN,378,4.0,Philosophy and Literature,junior or senior standing or one previous literature course,"Aesthetic Exploration, Philosophical Inquiry and Life's Meanings, Critical Thinking"
CASEN,379,4.0,American Poetry,"First Year Writing Seminar (e.g., WR 100 or WR 120)","Aesthetic Exploration, Writing-Intensive Course, Oral and/or Signed Communication"
CASEN,380,4.0,Twentieth-Century African American Novel,,
CASEN,381,4.0,WHITMAN,,
CASEN,382,4.0,TOP OF POPS,,
CASEN,383,4.0,Writing in Australia,,
CASEN,385,4.0,Auteur Filmmaking,"First Year Writing Seminar (e.g., EN 120 or WR 100 or WR 120)",
CASEN,386,4.0,Topics in Anglophone Literature,one previous literature course or junior or senior standing,
CASEN,387,4.0,AMERICA VOYAGES,,
CASEN,389,4.0,Fictional Forms,one previous literature course or junior or senior standing,
CASEN,390,4.0,Topics in Comparative Literature,one previous literature course or junior or senior standing,
CASEN,393,4.0,Technoculture and Horizons of Gender and Race,one previous literature course or junior or senior standing,"The Individual in Community, Digital/Multimedia Expression"
CASEN,394,4.0,Cultures of Science,one previous literature course or junior or senior standing,"Aesthetic Exploration, Social Inquiry II"
CASEN,395,4.0,"Race, Sex and Science Fiction",,
CASEN,396,4.0,"Resistance, Revolution, and Slavery in African American Literature",one previous literature course or junior or senior standing,
CASEN,397,4.0,Black American Cinema,,"The Individual in Community, Aesthetic Exploration"
CASEN,398,4.0,Global Shakespeares,,
CASEN,399,4.0,Fictions of Race and Migration,,"Global Citizenship and Intercultural Literacy, Social Inquiry I, Critical Thinking"
CASEN,401,4.0,Senior Independent Work,approval of Honors Committee,
CASEN,402,4.0,Senior Independent Work,approval of Honors Committee,
CASEN,403,4.0,Advanced Writing of Poetry,,
CASEN,404,4.0,History of Literary Criticism I,two previous literature courses or junior or senior standing,"Philosophical Inquiry and Life's Meanings, Aesthetic Exploration"
CASEN,405,4.0,Advanced Writing of Fiction,"consent of instructor, to whom two or three short stories must be subm itted during the period just before classes begin",
CASEN,406,4.0,History of Literary Criticism II,two previous literature courses or junior or senior standing,
CASEN,421,4.0,CHAUCER,,
CASEN,422,4.0,MEDIEVAL FICTNS,,
CASEN,423,4.0,ARTHURIAN LIT,,
CASEN,424,4.0,REN FICTION,,
CASEN,425,4.0,GENRE: PASTORAL,,
CASEN,426,4.0,METAPHYSICALS,,
CASEN,427,4.0,18C SATIRE& ART,,
CASEN,428,4.0,BLAKE,,
CASEN,429,4.0,SHELLEY & BYRON,,
CASEN,430,4.0,WORDSWRTH/KEATS,,
CASEN,433,4.0,NEW ENG POETS,,
CASEN,434,4.0,HENRY JAMES,,
CASEN,435,4.0,WALLACE STEVENS,,
CASEN,436,4.0,EMERSON,,
CASEN,437,4.0,Thinking with Animals,two previous literature courses or junior or senior standing,
CASEN,442,4.0,JANE AUSTEN,,
CASEN,443,4.0,BEN JONSON,,
CASEN,444,4.0,DICKENS,,
CASEN,446,4.0,FAULKNER,,
CASEN,452,4.0,Asian American Studies: Theory and Methods,,"The Individual in Community, Philosophical Inquiry and Life's Meanings"
CASEN,454,4.0,O'NLL/ODTS/WILL,,
CASEN,457,4.0,WOMEN'S AUTOBIO,,
CASEN,463,4.0,Hamlet/Macbeth: Appropriation and Performance,,
CASEN,465,4.0,Critical Studies in Literature and Society,Two previous literature courses or junior or senior status,
CASEN,466,4.0,Critical Studies in Literature and Society,Two previous literature courses or junior or senior status,
CASEN,468,4.0,Critical Studies in British Literature,,
CASEN,470,4.0,CRST BR LIT MVT,,
CASEN,471,4.0,Critical Studies in American Literary Movements,Two previous literature courses or junior or senior status,"Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Research and Information Literacy"
CASEN,472,4.0,Critical Studies in American Literary Movements,,
CASEN,473,4.0,Critical Studies in Literary Genres,Two previous literature courses or junior or senior status,
CASEN,474,4.0,Critical Studies in Literary Genres,two previous literature courses or junior or senior standing,
CASEN,475,4.0,Critical Studies in Literature and Gender,two previous literature courses or junior or senior standing,
CASEN,476,4.0,Critical Studies in Literature and Gender,two previous literature courses or junior or senior standing,
CASEN,477,4.0,Critical Studies: Black Diaspora Theory and Practice,two previous literature courses or junior or senior standing,"The Individual in Community, Aesthetic Exploration, Critical Thinking"
CASEN,478,4.0,Critical Studies in British Writers,,
CASEN,479,4.0,Critical Studies in American Writers,consent of instructor,
CASEN,480,4.0,Critical Studies in American Writers,two previous literature courses or junior or senior standing,
CASEN,481,4.0,Performative Text and Design,two previous literature courses or junior or senior standing,
CASEN,482,4.0,Critical Studies in Modern Literature,two previous literature courses or junior or senior standing,"Philosophical Inquiry and Life's Meanings, Aesthetic Exploration"
CASEN,483,4.0,Critical Studies in Literature and Ethnicity,two previous literature courses or junior or senior standing,
CASEN,484,4.0,Critical Studies in Literature and Ethnicity,,
CASEN,485,4.0,Representing Gender in American Literature and Film,,
CASEN,486,4.0,Critical Studies in Anglophone Literature,two previous literature courses or junior or senior status,
CASEN,487,4.0,RISE OF UNCONSC,,
CASEN,488,4.0,Critical Studies in African American Literature,two previous literature courses or junior or senior standing,
CASEN,490,4.0,"The Gothic, Identity, and the Human",two previous literature courses or junior or senior standing,"Aesthetic Exploration, Philosophical Inquiry and Life's Meanings, Critical Thinking"
CASEN,491,4.0,Independent Study,"consent of instructor, department, and approved application",
CASEN,492,4.0,Independent Study,"consent of instructor, department, and approved application",
CASEN,493,4.0,Critical Studies in Literature and The Arts,two previous literature courses or junior or senior standing,"Aesthetic Exploration, Philosophical Inquiry and Life's Meanings, Creativity/Innovation"
CASEN,494,4.0,Critical Studies in Literature and the Arts,one semester in the Modern British Studies Program,
CASEN,495,4.0,Critical Studies in Literary Topics,two previous literature courses or junior or senior standing,
CASEN,496,4.0,Critical Studies in Literary Topics,two previous literature courses or junior or senior standing,
CASEN,497,4.0,Critical Studies in Literature and Philosophy,two previous literature courses or junior or senior standing,"Aesthetic Exploration, Philosophical Inquiry and Life's Meanings, Critical Thinking"
CASEN,498,4.0,Critical Studies in Contemporary Literature,,
CASEN,499,4.0,Special Topics in Cinema and Media Studies,,
CASEN,500,4.0,Henry James and New Media,two previous literature courses or junior or senior status,
CASEN,501,4.0,The Essay,"consent of instructor, to whom one 600-word essay on a subject of thes tudent's own choosing must be submitted during the period just before classes begin",
CASEN,502,4.0,Reading and Writing Literary Nonfiction,two previous literature courses or junior or senior standing; and First-Year Writing (WR 120 or equivalent),"Writing-Intensive Course, Creativity/Innovation"
CASEN,503,4.0,Fiction Workshop,"consent of instructor, to whom two or three stories or a portion of a novel must be submitted during the period just before classes begin",
CASEN,504,4.0,Fiction Workshop,"consent of instructor, to whom two or three stories or a portion of a novel must be submitted during the period just before classes begin",
CASEN,505,4.0,Poetry Workshop,"consent of instructor, to whom a selection of poems must be submitted during the period just before classes begin",
CASEN,506,4.0,Poetry Workshop,"consent of instructor, to whom a selection of poems must be submitted during the period just before classes begin",
CASEN,507,4.0,"Seminar: Creative Writing, Fiction","consent of instructor, to whom two or three stories or chapters from a novel must be submitted during the period just before classes begin",
CASEN,508,4.0,"Seminar: Creative Writing, Poetry","consent of instructor, to whom a selection of poems must be submitted during the period just before classes begin",
CASEN,509,4.0,Playwriting 2: Writing the Social/Political Play,"consent of instructor, to whom a short play or scene from a play must be submitted during the period just before classes begin",
CASEN,510,4.0,Playwriting 1: Writing of Short Plays,"consent of instructor, to whom a short play or scene from a play must be submitted during the period just before classes begin","Writing-Intensive Course, Aesthetic Exploration, Creativity/Innovation"
CASEN,511,4.0,Introduction to Linguistics,(CASLX250) or consent of instructor,
CASEN,512,4.0,Readings for Writers: Contemporary Literary Nonfiction,two previous literature courses or junior or senior standing,
CASEN,513,4.0,Modern English Grammar and Style,two previous literature courses or junior or senior standing,
CASEN,514,4.0,Topics in the Linguistics of English,(CASLX250) or consent of instructor,
CASEN,515,4.0,History of the English Language 1,,
CASEN,516,4.0,History of the English Language 2,two previous literature courses or junior or senior standing,
